오피스텔매매가격지수_지역코드|오피스텔매매가격지수_지역명|시군구코드현행화|시도명현행화|시군구명현행화
0003|지방|48123|경상남도|창원시 성산구
0003|지방|48125|경상남도|창원시 마산합포구
0003|지방|48127|경상남도|창원시 마산회원구
0003|지방|48129|경상남도|창원시 진해구
00030005|울산|48130|경상남도|울산시
00030005|울산|48131|경상남도|울산시 중구
00030005|울산|48133|경상남도|울산시 남구
00030005|울산|48135|경상남도|울산시 동구
00030005|울산|48137|경상남도|울산시 울주구
0003|지방|48150|경상남도|마산시
0003|지방|48151|경상남도|마산시 합포구
0003|지방|48153|경상남도|마산시 회원구
0003|지방|48160|경상남도|마산시
0003|지방|48170|경상남도|진주시
0003|지방|48190|경상남도|진해시
0003|지방|48210|경상남도|충무시
0003|지방|48220|경상남도|통영시
0003|지방|48230|경상남도|삼천포시
0003|지방|48240|경상남도|사천시
0003|지방|48250|경상남도|김해시
0003|지방|48270|경상남도|밀양시
0003|지방|48290|경상남도|장승포시
0003|지방|48310|경상남도|거제시
0003|지방|48330|경상남도|양산시
0003|지방|48710|경상남도|진양군
0003|지방|48720|경상남도|의령군
0003|지방|48730|경상남도|함안군
0003|지방|48740|경상남도|창녕군
0003|지방|48750|경상남도|밀양군
0003|지방|48760|경상남도|양산군
00030005|울산|48770|경상남도|울주군
00030005|울산|48775|경상남도|울산군
0003|지방|48780|경상남도|김해군
0003|지방|48790|경상남도|의창군
0003|지방|48795|경상남도|창원군
0003|지방|48800|경상남도|통영군
0003|지방|48810|경상남도|거제군
0003|지방|48820|경상남도|고성군
0003|지방|48830|경상남도|사천군
0003|지방|48840|경상남도|남해군
0003|지방|48850|경상남도|하동군
0003|지방|48860|경상남도|산청군
0003|지방|48870|경상남도|함양군
0003|지방|48880|경상남도|거창군
0003|지방|48890|경상남도|합천군
0003|지방|49000|제주도|
0003|지방|49110|제주도|제주시
0003|지방|49130|제주도|서귀포시
0003|지방|49710|제주도|북제주군
0003|지방|49720|제주도|남제주군
0003|지방|50000|제주특별자치도|
0003|지방|50110|제주특별자치도|제주시
0003|지방|50130|제주특별자치도|서귀포시
